Player,Pos,Ht,Wt,Exp,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Season
Troy Hudson,PG,185,77,3,24,75,7,13.4,1.7,5.0,.336,0.3,1.5,.202,1.4,3.5,.392,.366,1.1,1.4,.817,0.5,0.9,1.4,2.2,0.5,0.0,1.2,1.1,4.8,2001
Tracy McGrady,SG,203,95,3,21,77,77,40.1,10.2,22.4,.457,0.8,2.2,.355,9.5,20.2,.468,.474,5.6,7.6,.733,2.5,5.0,7.5,4.6,1.5,1.5,2.6,2.1,26.8,2001
Mike Miller,SF,203,99,0,20,82,62,29.1,4.5,10.3,.436,1.8,4.4,.407,2.7,5.9,.457,.523,1.1,1.6,.711,0.8,3.2,4.0,1.7,0.6,0.2,1.2,2.4,11.9,2001
Bo Outlaw,PF,203,95,7,29,80,69,31.7,2.8,4.6,.614,0.0,0.0,.500,2.8,4.6,.615,.615,1.6,2.8,.573,2.6,5.1,7.7,2.8,1.3,1.7,1.8,3.0,7.3,2001
Elliot Perry,PG,183,68,8,31,6,0,6.5,0.8,1.8,.455,0.0,0.2,.000,0.8,1.7,.500,.455,0.0,0.0,,0.2,0.5,0.7,0.8,0.5,0.0,1.0,0.2,1.7,2001
Don Reid,PF,203,113,5,27,65,7,11.8,1.3,2.2,.566,0.0,0.0,,1.3,2.2,.566,.566,0.7,1.2,.613,1.3,2.4,3.7,0.3,0.4,0.8,0.7,2.9,3.2,2001
James Robinson,PG,188,82,6,30,6,0,8.3,0.7,1.8,.364,0.3,0.8,.400,0.3,1.0,.333,.455,0.0,0.0,,0.0,1.3,1.3,0.0,0.7,0.2,0.7,0.8,1.7,2001
Monty Williams,SF,203,102,6,29,82,0,14.8,2.0,4.4,.445,0.0,0.2,.077,2.0,4.3,.459,.446,1.0,1.6,.639,1.0,1.9,3.0,1.0,0.4,0.2,1.0,1.7,5.0,2001
William Avery,PG,188,89,1,21,55,0,8.4,1.0,2.6,.382,0.3,1.1,.271,0.7,1.5,.459,.438,0.5,0.7,.778,0.1,0.4,0.5,1.4,0.2,0.1,0.8,0.9,2.8,2001
Chauncey Billups,SG,190,92,3,24,77,33,23.2,3.2,7.6,.422,0.9,2.5,.376,2.3,5.1,.445,.485,1.9,2.2,.842,0.4,1.6,2.1,3.4,0.7,0.1,1.4,2.3,9.3,2001
Terrell Brandon,PG,180,82,9,30,78,78,36.2,6.6,14.5,.451,0.4,1.2,.363,6.1,13.4,.458,.465,2.5,2.9,.871,0.8,3.1,3.8,7.5,2.1,0.3,2.0,1.8,16.0,2001
Todd Day,SG,198,85,7,31,31,0,11.1,1.4,3.8,.373,0.8,2.2,.377,0.6,1.6,.367,.483,0.6,0.7,.783,0.3,0.9,1.2,0.9,0.3,0.2,0.8,1.7,4.3,2001
LaPhonso Ellis,PF,203,109,8,30,82,5,23.8,3.6,7.8,.464,0.1,0.3,.318,3.5,7.6,.469,.470,2.1,2.6,.790,2.4,3.6,6.0,1.1,0.8,0.9,1.3,3.5,9.4,2001
Kevin Garnett,PF,211,109,5,24,81,81,39.5,8.7,18.2,.477,0.2,0.8,.288,8.5,17.4,.486,.484,4.4,5.8,.764,2.7,8.7,11.4,5.0,1.4,1.8,2.8,2.5,22.0,2001
Dean Garrett,C,208,102,4,34,70,21,11.9,1.1,2.2,.481,0.0,0.0,,1.1,2.2,.481,.481,0.4,0.6,.692,0.9,2.2,3.1,0.3,0.4,0.7,0.4,1.3,2.5,2001
Tom Hammonds,PF,206,98,11,33,7,0,4.3,0.4,1.4,.300,0.0,0.0,,0.4,1.4,.300,.300,0.1,0.3,.500,0.3,0.3,0.6,0.1,0.0,0.0,0.4,1.1,1.0,2001
Sam Jacobson,PG,193,98,2,25,14,0,4.2,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.1,0.2,.667,0.2,0.2,0.4,0.3,0.2,0.0,0.0,1.4,1.4,2001
Felipe López,PG,196,90,2,26,23,10,19.9,3.0,6.6,.454,0.6,1.0,.565,2.4,5.6,.434,.497,0.8,1.4,.576,1.1,2.1,3.2,1.5,0.9,0.5,1.2,2.0,7.4,2001
Sam Mitchell,SF,198,95,11,37,82,4,12.0,1.4,3.5,.408,0.1,0.5,.209,1.3,3.0,.443,.424,0.5,0.7,.727,0.3,1.2,1.5,0.7,0.3,0.1,0.4,1.4,3.5,2001
Rasho Nesterović,C,213,112,2,24,73,39,16.9,2.0,4.4,.461,0.0,0.0,.000,2.0,4.4,.462,.461,0.5,0.9,.523,1.4,2.6,3.9,0.6,0.3,0.9,0.8,2.6,4.5,2001
Anthony Peeler,SG,193,94,8,31,75,41,28.3,4.1,9.8,.421,1.3,3.4,.391,2.8,6.3,.437,.489,1.0,1.2,.862,0.6,2.0,2.6,2.6,1.2,0.2,1.4,2.2,10.5,2001
Reggie Slater,PF,201,98,5,30,55,16,12.5,1.6,3.2,.514,0.0,0.0,,1.6,3.2,.514,.514,1.3,2.0,.673,1.4,2.0,3.4,0.5,0.3,0.2,0.8,2.3,4.6,2001
Wally Szczerbiak,SF,201,111,1,23,82,82,34.8,5.7,11.2,.510,0.3,0.9,.338,5.4,10.3,.526,.524,2.2,2.5,.870,1.6,3.8,5.5,3.2,0.7,0.4,1.7,2.8,14.0,2001
Vin Baker,PF,211,105,7,29,76,27,28.0,4.6,10.8,.422,0.0,0.2,.063,4.6,10.6,.429,.423,3.1,4.2,.723,2.4,3.3,5.7,1.2,0.5,1.0,2.1,3.5,12.2,2001
Brent Barry,SG,198,84,5,29,67,20,26.5,3.0,6.0,.494,1.6,3.4,.476,1.3,2.6,.517,.630,1.3,1.5,.816,0.5,2.7,3.1,3.4,1.2,0.2,1.3,1.9,8.8,2001
Emanual Davis,SG,193,88,3,32,62,39,20.8,2.1,5.1,.418,0.8,2.0,.394,1.3,3.1,.435,.497,0.7,0.9,.818,0.5,2.0,2.5,2.2,1.0,0.2,1.2,1.6,5.8,2001
Pervis Ellison,C,206,95,10,33,9,0,4.4,0.2,0.8,.286,0.0,0.0,,0.2,0.8,.286,.286,0.2,0.2,1.000,0.2,1.1,1.3,0.3,0.0,0.2,0.3,1.4,0.7,2001
